moment,agency,social
I was able to achieve something difficult at work that made my co-worker really happy.,yes,yes
I helped plan a surprise party for my Mom's 70th birthday party coming up.,yes,yes
I ate a delicious dinner with my husband.,yes,yes
"I found an interesting book at the library, a book I didn't know existed.",yes,no
I went to the gym and exercised on the elliptical and lifted weights after work.,yes,no
I ran a mile under 6 minutes today and it made me feel fast.,yes,no
My girlfriend told me she is really happy with me and that she was happy she met me.,no,yes
"I was told that the school I teach it will be closed all week, but teachers will still be paid.",no,no
I was happy when I read the email of a requester giving me a $3 bonus.,yes,yes
I ate chik-fil-a,yes,no
I spent time with my boyfriend on our anniversary and watched my favorite movie.,yes,yes
The coworkers I met for lunch today were nice people and I had a good chat with them.,yes,yes
"I was off from work, and I got to work on two of the things I enjoy doing most with my spare time, which includes doing survey work and video games.",yes,no
I had a delicious lunch today.,yes,no
In the last 24 hours receiving my raise at work made me very happy,no,no
I got a burger for lunch and it was cooked perfectly because it wasn't too rare or too well-done.,yes,no
I had some new classes yesterday and it made me happy to start a new quarter and turn a new leaf.,yes,no
I completed a big project.,yes,no
I obtain my goal of exercising for one hour per day today,yes,no
I reached a new fitness goal of mine.,yes,no
I was happy that I was upgraded to first class on my flight home.,yes,no
I made a grilled cheese and had a beer with it after I mowed -- I love both of those things.,yes,no
My coworker just received news that she had an accepted offer on her home.,no,yes
I went to buy a new game for my PS4 - street fighter V,yes,no
"Since I am no longer constipated, I was able to go for a long walk around my neighborhood.",no,no
"I ate my favorite food, chicken alfredo.",yes,no
I got to spend time with my friend as we watched one of our favorite shows together.,yes,yes
Going to school to get my daughters grades which had great results.,yes,no
My dog finished all his food for the first time in a few days.,no,no
I was watching an episode of crashing and I had a good laugh at one of the jokes on the episode.,yes,no
I was reading in my hammock.,yes,no
My girlfriend cuddled with me before we went to sleep for a long time last night,no,yes
I wrote a song that I really liked and feel good about making.,yes,no
Staying at home after going to the gym and being alone,yes,no
A friend made dinner for me.,no,yes
I was happy because I was able to attend a lecture by my favorite author last night.,yes,yes
I went to the gym in the morning.,yes,no
My partner made me a romantic meal to congratulate me for my new job.,no,yes
I ate healthier.,yes,no
I ate a delicious supper last evening.,yes,no
I got a positive result for a client at work.,yes,yes
"I participated in a group task and felt valued in it, as if my skills were needed and appreciated.",yes,yes
My boyfriend told me how proud he is of me.,no,yes
Some vegetables that I had planted had sprouted and I saw green poking through the soil this morning.,yes,no
I drank a tasty green tea latte that I made.,yes,no
I talked to my dad and we talked about football for around an hour,yes,yes
I called my debt collection agency and they confirmed they received my payment.,yes,no
A tasty dinner yesterday.,no,no
I ate a delicious chocolate fudge brownie.,yes,no
I did some stretching this morning and it helped out with my pain.,yes,no
I had excellent dinner,yes,no
Seeing my puppy sleeping goofy.,yes,yes
My wife cooked me a surprise dinner to take to work with me.,yes,no
I was able to get some writing done at work.,yes,no
Going for a long cycling ride and enjoying today's sunny weather.,yes,no
"I ate a hearty breakfast of bacon, eggs, biscuits, and hash browns which left me completely sated.",yes,no
"Watching a soap opera of a wrestler, Blue Demon.",yes,no
i felt happy today when my favorite show came on and my roommates all watched it with me.,yes,yes
I woke up and was excited to get to work.,yes,no
Parents were over to watch my daughter,no,yes
I Had fun playing an older video game,yes,no
I finished all of my work by the end of the day.,yes,no
I won $20 on a fanduel nba fantasy basketball tournament lineup contest.,no,no
My dad thanked me for helping him fix a water fountain in our backyard.,yes,yes
I worked out first thing this morning.,yes,no
A shirt that I had ordered online finally came in.,yes,no
It made me happy to eat chic-a-fila for lunch because it is my favorite restaurant.,yes,no
"I just cooked up a couple really tasty burgers and with the new spicy mustard saw I bought, they were perfect!",yes,no
I spent some quality time with some coworkers I really like.,yes,yes
My professor told me that he was impressed that I do all the optional assignments and that I'm the only one that does them.,no,yes
I took my wife's family out for my wife's birthday.,yes,yes
I went to the grocery store and got all the groceries I need for a week.,yes,no
I had a stress free day at work today.,no,no
That coffee was already made when I woke up early.,no,no
The puppy got all excited to see me when i came home for the first time,yes,no
I ate a very delicious rum cake.,yes,no
"After a long wait, my Amazon Payments account was finally verified.",no,no
I passed my exam for my online class.,yes,no
I WAS HAPPY TO HEAR THAT A FRIEND OF MINE HAD A HEALTHY BABY.,no,yes
I was told that my older brother is getting married in a few months.,no,yes
I made a new smoothie mix for my snack before bedtime.,yes,no
My fiancee took my car to the shop to get it fixed for me while I was at work.,no,yes
I ate delicious rice pudding,yes,no
I'm finally getting back into my healthy eating plan and today I found out I lost a pound.,yes,no
My dog behaved when confronted by another dog on our daily walk.,no,yes
My friend and I took a long walk.,yes,yes
I made a big dinner tonight and my partner was very grateful and appreciative of the effort.,yes,yes
I fixed my car.,yes,no
I saw a beautiful sunset with double rainbows,yes,no
I made it to work on time.,yes,no
I enjoyed the great meal and drinks on my flight.,yes,no
I caught an extremely rare pokemon in the new pokemon game which is awesome.,yes,no
I was happy when my wife woke up feeling better.,no,yes
As I was walking to retrieve the mail I saw a neighbor walking their adorable dog.,yes,yes
I finished a good book,yes,no
Walking outside exercising,yes,no
I talked to my partner on the phone about his recent performance in a race (he did well).,yes,yes
I wrote an excellent blog post that I was proud of.,yes,no
I went to the gym and rowed.,yes,no
I made good money yesterday and today at work.,no,no
I was happy when my new recipe came out very good.,yes,no
I weighed myself this morning and I've lost 2lbs since my last weigh-in.,yes,no
I was able to enjoy a nice pleasant dinner with my family last night at the olive garden.,yes,yes
My favorite show came back on netflix,no,no
"This morning I completed a piece of embroidery I have been working on, and I am quite pleased with it.",yes,no
I got to watch 2 nba basketball games after dinner and actually relaxed.,yes,no
I listened to a new song that I really liked.,yes,no
The weather was great outside.,no,no
I looked at pictures of my unborn baby's ultrasound.,yes,yes
Catching up with an old friend over facebook,yes,yes
I got a 98% on a midterm paper for one of my major specific courses.,yes,no
I was able to leave work early.,yes,no
"I listened to the latest album from a favorite musician, Kristin Hersh.",yes,no
I watched my favorite TV show.,yes,no
I received a card in the mail from my parents a few days early for my birthday.,no,yes
I went for a run around the block.,yes,no
My son told me he is having the best time while we were at the beach this morning in Florida.,no,yes
I ate a lot of food that I made.,yes,no
I made a cool song on my computer,yes,no
I watched an episode of One Punch Man on Netflix which is a show I've been wanting to watch for a long time.,yes,no
Found a new house listed for sale that is both attractive and in my price range.,yes,no
I got a great deal on a camera I really wanted on ebay.,yes,no
I made plans to meet up with a friend tonight that I don't see very often.,yes,yes
When I ate my favorite dessert,yes,no
I learned that my favorite football team signed a good player.,yes,no
There were two frozen waffles in the freezer when I had thought I had already eaten the last ones.,no,no
I tried a new recipe for supper and everyone enjoyed it.,yes,yes
i buy new shoes today.,yes,no
I listened to a really nice podcast on the Gospel readings from this past Sunday.,yes,no
I enjoyed watching a funny YouTube video with my family.,yes,yes
I came into to work to find out im off for the next week.,yes,no
My child told me that she loved me.,yes,yes
I came home to a clean house that my husband cleaned for me.,yes,yes
That the dogs were already taken outside to potty so I didn't have to go out in the cold to do it myself.,yes,yes
My small daughter slept all through the night last night.,no,yes
I had a good breakfast at a local deli.,yes,no
I started thinking about more things that I will do on my vacation in 2 weeks.,yes,no
"I went rock climbing with my brother, it was fun but it was very tiring but you feel like a badass when you're climbing so high.",yes,yes
"When I got home, I had a cup of coffee and ate my favorite burritos to relax.",yes,no
My friend sent me a book because he thought I would like it.,no,yes
I was able to make coffee and sit for a few minutes before driving to work.,yes,no
We got some much needed rain and it smelled so good,no,no
I ran for at least 30 minutes on the treadmill today.,yes,no
I was able to complete reading the novel I had started a week ago,yes,no
I looked up from my work and noticed it was 5 o clock and time to go home.,yes,no
I played with my cat and snuggled with him while watching some TV.,yes,no
My rabbit was very affectionate toward me.,no,no
The birth of my baby was the best thing that happened to me this month.,yes,yes
my mom's birthday celebration and wedding celebration and my dad birthday celebration i enjoyed the past month,no,yes
I got a raise after my performance reviews in the past month.,yes,no
I learned how to cook a new cake recipe.,yes,no
My son won the senior elementary science fair in the engineering category,no,yes
I really started getting involved with a company I can sell online with I am very much behind and love the products.,yes,no
I had a great date night with my wife.,yes,yes
I won 100 dollars on a lottery scratcher,yes,no
I lost 5 pounds which is awesome considering I never ever lose weight.,yes,no
I got to see one of my plays performed at a theatre in Hollywood.,yes,no
I completed a $15 HIT yesterday.,yes,no
The day with my wife,yes,yes
Working on my grandfathers piano made me happy.,yes,yes
last week I purchased a new car.,yes,no
I was asked on a date by a guy I like and it went well!,yes,yes
I felt I had done a good job on a project at work.,yes,no
I am happy that I made the most amount of money in the last month on Amazon Mturk that I have ever made in my 3+ years of membership.,yes,no
My happy moment was the day I laid eyes on our dog we adopted this month.,yes,no
We have conducting the party of my mothers birthday the in last month the party was very enjoyable movement on the day me and my family members enjoyed lots and lots in an parties,no,yes
my mother surprised me by coming home with my favourite cooked meal,yes,yes
bought a new phone this past month,yes,no
Enjoying quality time with my daughter to watch her interact with others made me realize I did a good job raising her.,yes,yes
"when i married my husband,it is the happiest moment in my life.",yes,yes
When i had a great weekend trip with my friends,yes,yes
My favorite team won the match comprehensively.,yes,no
My girlfriend and I played video games and went out to dinner and a movie last weekend.,yes,yes
"I called my mother long distance and she told me she was coming to visit and stay with me for a month, I haven't seen her in a year.",no,yes
past month i went a vocation from my office.all of our office colleges are attended the vocation.we all went by a bus.we played games and danced in the bus.it was interesting and very happiest moment in my life.we all enjoyed lot.,yes,yes
past month i went a vocation from my office.all of our office colleges are attended the vocation.we all went by a bus.we played games and danced in the bus.it was interesting and very happiest moment in my life.we all enjoyed lot.,yes,yes
When my 4 year old son wiped my tears consoling me after I had an arguement with my spouse,yes,yes
My happiest moment when everyday my mom kiss me on my head.,yes,yes
My happiest moment when everyday my mom kiss me on my head.,yes,yes
My happiest moment when everyday my mom kiss me on my head.,yes,yes
My happiest moment when everyday my mom kiss me on my head.,yes,yes
Buying new phone from my earned money.,yes,no
Lying the bed listening to the rain outside Listening to old songs and being able to remember all the lyrics,yes,no
The idea of starting a business,no,no
The general manager came into my job and told me what a great job I had been doing.,no,yes
I celebrated my father's birthday first time at last month and i gave a surprised party that makes my father to be very happy that moment is my happiest moment on last month.,yes,yes
I received my IRS TAX REFUND,no,no
I bought a new car,yes,no
I got golden employee award certificate in my office for my performance.,no,no
I met with my nephews and we played cricket.,yes,yes
"My father gifted me the latest bike last week which i was eagerly wanted, very happy.",yes,yes
"I went to karaoke with my friend, I was really bad at singing but I still had a good time because its a lot of fun singing to your favorite songs.",yes,yes
My son saying he loves me,no,yes
I adapted healthier eatings habits over the past month.,yes,no
I was quite happy when I took a long weekend trip to the country with my partner.,yes,yes
It made me happy to find out that we are getting raises this year at work.,no,no
I had a lovely time cooking a new meal with my partner.,yes,yes
My dog makes me happy everyday.,no,no
I made cookies with my grandson.,yes,yes
A patient I have been treating for infertility for nearly a year emailed me last Saturday to tell me she is pregnant!,no,yes
"This past month, I celebrated my 31st birthday and had a wonderful party to celebrate with friends and family.",yes,yes
My wife finally got a job that utilizes her degree.,no,yes
I was very happy when my  husband and I had an entire day to ourselves to go explore downtown Dallas one Saturday.,yes,yes
I got to go to my son's cub scout meeting for the first time tonight.,yes,yes
i was given a worthy increment in my salary for which i have been demanding for long.,yes,no
Yesterday March 28th when I participated in a company competition and for the first time in 5 years I won a trip for 4 people to Miami,yes,no
It made me happy when I got on the scale and lost 6 pounds.,yes,no
I was happy to see some friends while they were on vacation.,yes,no
"After many meetings, phones calls, and emails, I finally got my son accepted to an amazing private school for children with Autism!",no,yes
"Three weeks ago, I received my Certified Public Accountant license.",yes,no
I was accepted for an Amazon Mechanical Turk survey that pays $50.,yes,no
My son played his guitar with the band at church.,no,yes
I have been attending archery classes and it gives me utter happiness.,yes,no
"What made me happy was, going to the Saint Patrickas Day parade with my family and then the after party at the friendly sons of shillelagh.",yes,yes
I got a new personal record in an Olympic weightlifting movement.,yes,no
"It made me happy to receive a call from my brother, who is in another country that I had not heard in a long time, told me that he is very well and that I am going to be uncle.",no,yes
I started a romantic relationship with my best friend.,yes,yes
Recently I stood up for myself and addressed a work situation involving a co-worker who was passive-aggressive towards me for some time.,yes,yes
"One of my students hugged me at the end of a lesson and said ""When I grow up, I want to be you!""",yes,yes
"The day in tamilnadu, when all my students get gathered in a place in my city, and fought against all over the world, its truly exciting and proud moment in my life, am still very happy about the protesters, also till my death.",no,yes
We got a new house and a car.,yes,no
I hit a production goal at work.,yes,no
The bakery had my favorite pastry.,no,no
My youngest son began to stand up holding on to an object.,no,yes
When my poster was accepted to an academic conference.,no,no
My sister engagement am happy to see happy forever she doing to marry that person whom she loved,no,yes
"Last week, I took a day off and went on a three day weekend get away trip.",yes,no
Some time spent petting and cuddling with my purring cat.,yes,yes
My mother and sister flew across the country to visit me for a week,yes,yes
I was happy when I was playing video games online with a friend living far away.,yes,yes
I visited my mother on her birthday and we took a long walk together.,yes,yes
seeing my brother whom I have not seen for over a yer,yes,yes
Watching my daughter perform at the choral arts festival.,yes,yes
I was made very happy when I was working with my students and they were able to create and play their own music in about an hour.,yes,yes
I found out that I was promoted at work.,yes,no
I became very happy when my boyfriend bought me a new car!,no,yes
I recognized that a sick pet was getting better.,yes,no
One moment that made me happy this past month was taking my family on an outing to drink and hit golf balls.,yes,yes
On tuesday I got a surprise birthday present.,no,yes
I was accepted to the Cell and Molecular Biology PhD program at the University of Pennsylvania.,no,no
"After a bad evaluation at work, my husband hugged me and told me not to worry; I'd find a new job.",no,yes
"I had a bad day at work, and after talking to my boyfriend about it, he surprised me by taking me out to my favorite restaurant.",yes,yes
"My dog ran around all over the house, so excited to see me come home!",no,no
My spouse got a promotion,no,yes
when my friends came over to celebrate my 30th birthday,yes,yes
I was happy when my professor talked about new information in class.,yes,yes
I won a contest at my job for top sales.,yes,no
I increased my monthly earning on Mturk.,yes,no
I have been running a lot more,yes,no
Finding out my lost keys were picked up and returned to the store for me to pick up.,no,no
Helping my friends move into their amazing new house and seeing their smiling faces made me happy,yes,yes
"go to hotel,park,beach,cinema so enjoyed in the birthday celebration",yes,no
My daughter just wants to give my baby daughter kisses and cuddles all the time.,no,yes
I left my ex girlfriend and the bad relationship I was in.,yes,yes
I went to the vet recently and they were finally able to tell me what was causing my dog's excessive itching.,yes,yes
I place in the top 8 of my local card shop and got a good prize.,yes,no
"I found a great deal on two new fishing poles with open bail reels, two for thirty dollars!",yes,no
Watching my younger child aged 3 performing in a dance competition for the first time.,yes,yes
I found out I was going to florida for vacation.,yes,no
I was happy when I bought Sniper Elite 4 mid-February.,yes,no
My husband wanting to take me on a date for our upcoming wedding anniversary made me so happy.,no,yes
My dad gifted me a wrist watch.,no,yes
I went to a pool party and my friends liked the girl I brought.,yes,yes
I booked by ticket to go to Iceland with my best friend for June.,yes,yes
Something that made me happy in the past month was when my dog greeted me today when I got home.,yes,no
My manager inform me that I got promotion in my job.,yes,yes
I purchased a new 4x4 Jeep to take on the Elk Hunt.,yes,no
I was told I did an amazing job at work and was highly valued.,yes,no
My husband give me a stylish watch.,yes,yes
Having a date with my crush,yes,yes
"I visited with a old friend, that I have not seen in years.",yes,yes
I was happy this month thinking about how I could entertain my friends by sending them funny Snapchat photos.,yes,yes
I bought some new hand sanitizers that smell really good.,yes,no
I went a journey with my friends one week ago.,yes,yes
"I am happy that I made new friends on a web forum that I frequent, and they have accepted me as one of their own.",yes,yes
My result came and I scored distinction,yes,no
I met up with some friends for a birthday party and saw some I hadn't seen in awhile.,yes,yes
I got a bonus at my job that I have been working at for six years.,yes,no
I SPEND MOST OF TIMES WITH MY FRIEND,yes,yes
When I finally earned $10 on Mturk.,yes,no
I finally received a copy of the video game Doom for the PC that I have been waiting for almost a week and got to finally play it.,yes,no
yesterday before i bought one iphone 7 it is very nice to use nice moment,yes,no
I stumbled upon a youtuber called Markiplier who's really funny and has a great personality.,yes,yes
When I was offered a promotion to move to Dallas and be the Terminal Manager.,yes,no
walked on rain with my friends for reaching home from my college.,yes,yes
When someone told me that I had a good heart and that I was a helpful person.,yes,no
I watched a movie that wanted to see since last 1 year but was not getting time for it.,yes,no
I visited my parents and spent time with them.,yes,yes
My dogs made me happy,yes,no
My pet cat Dolly was confirmed to be pregnant which made me very happy since i was waiting for a long time for her to get pregnant.,no,no
Taking a long drive on a calm road with my family members who love me always.,yes,yes
MY HAPPIEST MOMENT IN MY COLLEGE DAYS BECAUSE WEEKLY TWO OR THREE DAYS WE BUNK THE CLASS GO TO FILM BEACH ANY RESORT THIS MY HAPPIEST MOMENT.,yes,yes
Taking a long drive on a calm road with my family members who love me always.,yes,yes
Taking a long drive on a calm road with my family members who love me always.,yes,yes
Taking a long drive on a calm road with my family members who love me always.,yes,yes
Taking a long drive on a calm road with my family members who love me always.,yes,yes
my happiest moment is my college day celebration and then i got a price to topper of the class.,yes,yes
Taking a long drive on a calm road with my family members who love me always.,yes,yes
Fifteen days ago my father give me a gift as bike this is a happiest moment for me.,no,yes
I went for a walk with my doggie.,yes,no
Made a big breakfast of eggs bacon on a bagel that was very tasty.,yes,no
I was taking a walk on a warm day in March hand in hand with my boyfriend and we were just talking.,yes,yes
Knowing that I have job options if I would like to pursue them.,yes,no
I got a free mattress due to a shipping error.,yes,no
I was happy when I found out my nephew is coming to visit me for a week for Spring Break.,yes,yes
I was made happy when I booked my wedding anniversary vacation for next month.,yes,no
My son getting good grades,no,yes
The meal I was making for the first time turned out successfully.,yes,no
Caught up on my favorite show (Bates Motel).,yes,no
I went to dinner to celebrate my wedding anniversary.,yes,no
"I successfully handmade, sewed, a beautiful tie-on, stuffed, embellished, chair cushion for my son's desk chair.",yes,yes
I was given a treat for my insatllation as it was a long pending issue at the management end and finally worked out.,yes,no
"When my sister, whom I love but who could drive the Pope crazy, left after a week-and-a-half visit.",no,yes
I bought a new car,yes,no
It made me happy when my infant son used baby sign language for the first time.,no,yes
snuggling in bed with my daughter,yes,yes
I was happy that the sun is shining more and the birds are beginning to migrate back to the area for the Spring/Summer.,no,no
The togetherness of relatives who wish our child and also their blessings made me feel happy,yes,yes
Waking up this morning and seeing my son smile made me happy.,no,yes
"As I watched, my five year old son saw his little brother drop his Popsicle and then handed him his own and said ""that's ok, Ethan!""",no,yes
A happy moment I had was when I saw my boyfriend after a whole week of not being able to see him because of school and work.,yes,yes
I accepted a new job.,yes,no
"I purchased an AC last month, I thought of buying AC for the past year and just now had money to buy that and that moment made me feel more happy.",yes,no
I bought a new car,yes,no
"I bought a new remote control car and crashed it a bunch, and it was really funny.",yes,no
I went to the beach for the first time in a long time.,yes,no
My father send me a mobile phone...,no,yes
I went and saw my niece's play.,yes,yes
My spouse and I were singing along to the radio one night on the drive home.,yes,yes
I was happy when I saw my dad retire a few weeks ago during his retirement party.,yes,yes
I felt really happy when I received my laptop in the mail.,yes,no
I went to a concert with friends.,yes,yes
New job with new responsibilities.,yes,no
My son gave my awesome cuddles while we watched Sesame Street.,yes,yes
"I enjoyed going to work and helping others less fortunate, get their homes in order.",yes,yes
My small booklet on Peritoneal Dialysis is now available in print form on Amazon.com as of last night.,yes,no
Taking my dog to her puppy class last Wednesday made me very happy.,yes,no
I was happy seven days ago when I celebrated my youngest son tenth birthday and my oldest son 21 birthday.,yes,yes
I reached a weight loss goal last week.,yes,no
I spent time with my extended family.,yes,yes
"I had my first annual review in my job post college and it went really well, better than I had expected.",yes,no
My mother sent me a gift card to my favorite clothing store for my birthday!,no,yes
I am very happy that my youngest son who is an alcoholic had decided to try and stop drinking again for the fourth time in around 18 months.,no,yes
It made me happy when my kids finished their dinner without complaining,no,yes
I spent the day sharing my traditions and beliefs with like-minded community members alongside my son.,yes,yes
My extended family came to visit for the weekends and we had a blast catching up.,yes,yes
My friend surprised me and threw a birthday dinner with all my friends,no,yes
Being able to attend the wedding of my best friend.,yes,yes
Seeing my girlfriend for the day and taking the dog for a walk.,yes,yes
I was happy when my boyfriend came home after being out of state for a week.,yes,yes
My mother told me she had a gift for me.,no,yes
I got a surprise visit from my brother and his wife last week.,no,yes
Selecting my graduation ring.,yes,no
When my mom gave me extra money today so I didn't have to ask my Dad.,no,yes
"I am currently trying to lose weight, and I have finally hit my weight loss goal.",yes,no
My husband surprised me with my favorite treats.,no,yes
I received a very favorable review and additional merit raise at work,no,no
Someone told me I had a heart of gold.,yes,yes
Shit chat with with my colleague during tea break and lunch time,yes,yes
"My oldest son, after having a rough first few games in his first competitive baseball season, was one of two players on his team to score and he put the ball in play both times he was up to bat.",no,yes
I was happy when I got a raise at work.,no,no
"I got a promotion at work, which also came with a pay raise and a new job title.",yes,no
"Just yesterday after I showed my artwork to a professor, he said that it is ""wonderful, great idea"".",yes,yes
I was chosen for a different position that I applied for at my work and now enjoy it and make more money.,yes,yes
I went on a movie date with my girlfriend to watch Beauty and the Beast a week ago.,yes,yes
My exam results are good.,no,no
I bought a new desktop for myself to primarily play video games on.,yes,no
getting a good grade on my finals,yes,no
What made me happy was buying myself a new pair of shoes.,yes,no
"When I got home for the weekend and saw my kids playing together, they are young so it was nice to see.",no,yes
I surprised my wife with a letter on our 13th month of marriage.,yes,yes
The Greek men's soccer team almost beat Belgium in a World Cup qualifying match.,no,yes
"An old friend reached out to me on social media, and we are now planning a visit with each other.",yes,yes
My daughter has been singing a lot recently.,no,yes
I bought a new pair of shoes.,yes,no
Eating at some fancy buffet.,yes,no
I got a call from my best friend who was very angry with me for months.,no,yes
I got a promotion at work.,yes,yes
I purchased a lottery scratch off ticket and won $250 dollars.,yes,no
I brought my dog to the dog park for the first time.,yes,no
I met a really attractive woman at a local bar.,yes,yes
I bought my new motor cycle.,yes,no
my mum recover fastly from severe cancer,no,yes
My daughter treated me today to a full house cleaning.,no,yes
I read a magazine that I really enjoyed.,yes,no
I m very happy when my boss ask to me that she promoted me in senior management.,no,yes
My tomato plants sprouting made me happy.,no,no
I was happy when I found out my job is expanding.,no,no
"In these moments I am still happy after this week, to continue advancing in my projects and to enjoy next to my family of the life of a very healthy way.",yes,yes
Going on a job interview for a place I really want to work.,yes,no
I started working out regularly and I can feel the difference.,yes,no
My cousin brother got awarded for his shortfilm,no,yes
"During a recent staff meeting at the office, I was awarded with a 10 year plaque of service.",no,yes
"I was able to help a client today and I felt very proud, useful, and happy - especially because my depression has been making me feel really useless lately.",yes,yes
"Last month, I Went out for dinner with my family to a big restaurant and it was a happy moment",yes,yes
Past month my cousin got a visa for US and I'm going to fly along with her to US as I already have a visa for US for vacation,yes,yes
Last month my son got his first trophy in the tennis match and i was very happy and he was very excited to see me his trophy and i took him out for dinner and spend the evening happily with him.,no,yes
My work colleague gave me the news that I was promoted to a higher rank.,yes,yes
I went to a conference where I got to meet a lot of new people and strengthen the bonds I had with my existing friends.,yes,yes
myself and my friend had candle light dinner,yes,yes
went on a holiday for 3 days with my family,yes,yes
my happiest moment last month was getting from master degree in Anna university,yes,no
Taking a long drive on a clam road with my parents on last month that makes me very happy with my family members.,yes,yes
Annual salary hike and bonus last month.,no,no
Going out to a famous disco and listen to one of the best dj's in the world.,yes,yes
I was told by my boss that I was up for a promotion this month.,yes,yes
I purchased a new Washing Machine to wash my clothes.,yes,no
"I lost 10 pounds, and that made me feel happy and accomplished.",yes,no
My toddler started sleeping through the night in their own bed.,no,yes
we named our first child,yes,yes
Visiting with family over the weekend made me happy.,yes,yes
My family and I laughed while we were eating dinner the other night.,yes,yes
Hearing that I would get a job interview.,no,no
i buy a fire tv for my new 4k tv,yes,no
When I was able to watch my favorite soccer team win their match.,yes,no
"I found a restaurant serving my favorite food that I was longing for days, it happened suddenly giving me a good surprise.",yes,no
I was happy when I learned that a family member did not have a serious illness.,no,yes
"I went to an art gallery, which I've never done before.",yes,no
What made me happy this month is finding out about a new job offer.,no,no
My best friend put her name down to volunteer at a pancake breakfast with me in May.,no,yes
"I got the chance to see my dad and stepmom, who I haven't really talked to that much in years, a couple of weeks ago, and it feels good to be rekindling that relationship.",no,yes
To be able to buy a team that my daughter needed.,yes,yes
My cousin came to visit from out-of-state.,no,yes
my daughter wins the scholarship exam conducted by the school with high marks only 3 children qualified for the scholarship i felt so happy and proud,no,yes
I got some really cute shoes Monday.,yes,no
My son completed his homework.,no,yes
Having the opportunity to be at home by myself for a few hours.,no,no
"A friend from high school posted an online message,saying that she loved me.",no,yes
Learning to make a new object in a 3D modeling program.,yes,no
